date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:57	109/109	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Oct%202025%2017:36:57%20GMT	https://stemphone.org/robots.txt		(from )
12:37:01	339904/339904	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2017:37:00%20GMT	https://stemphone.org/	C:/My%20Web%20Sites/stemphone/stemphone.org/index.html	(from )
12:37:04	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2004%20Oct%202025%2017:37:04%20GMT	https://stemphone.org/xmlrpc.php	C:/My%20Web%20Sites/stemphone/stemphone.org/xmlrpc.php	(from https://stemphone.org/)
12:37:04	17672/17672	---MCZ	200	added ('OK')	text/css	etag:W/%224508-63f7ab097fe5f%22	https://stemphone.org/wp-content/plugins/advanced-scrollbar//build/cursor.css?ver=1.1.8	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/advanced-scrollbar/build/cursorda20.css	(from https://stemphone.org/)
12:37:04	1557/1557	---MCZ	200	added ('OK')	text/css	etag:W/%22615-63f7ab098352f%22	https://stemphone.org/wp-content/plugins/advanced-scrollbar/build/scrollbar.css?ver=1.1.8	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/advanced-scrollbar/build/scrollbarda20.css	(from https://stemphone.org/)
12:37:04	3789/3789	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd-6402fbef680fd%22	https://stemphone.org/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.min.css?ver=6.65_1759423671	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-public.minc479.css	(from https://stemphone.org/)
12:37:04	1630/1630	---MCZ	200	added ('OK')	text/css	etag:W/%2265e-6402fbef66d5b%22	https://stemphone.org/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-email-decoder.min.css?ver=6.65_1759423671	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/cleantalk-spam-protect/css/cleantalk-email-decoder.minc479.css	(from https://stemphone.org/)
12:37:05	7239/7239	---MCZ	200	added ('OK')	text/css	etag:W/%221c47-6401ba53fb1af%22	https://stemphone.org/wp-content/plugins/popups-for-divi/styles/front.min.css?ver=3.2.2	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/popups-for-divi/styles/front.minee9a.css	(from https://stemphone.org/)
12:37:05	21/21	---M--	200	added ('OK')	text/css	etag:%2215-6401ba53fb98f%22	https://stemphone.org/wp-content/plugins/popups-for-divi/styles/front-popuphidden.min.css?ver=3.2.2	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/plugins/popups-for-divi/styles/front-popuphidden.minee9a.css	(from https://stemphone.org/)
12:37:05	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-632c18ecf354c%22	https://stemphone.org/wp-content/themes/Divi-April-2025/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/themes/Divi-April-2025/includes/builder/styles/images/preloader.gif	(from https://stemphone.org/)
12:37:06	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Oct%202025%2017:37:06%20GMT	http://stemphone.org/wp-content/themes/Divi-April-2025/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/themes/Divi-April-2025/core/admin/fonts/modules/all/modules.8.delayed	(from https://stemphone.org/)
12:37:06	92172/92172	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221680c-632c18ea01ec7%22	https://stemphone.org/wp-content/themes/Divi-April-2025/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/stemphone/stemphone.org/wp-content/themes/Divi-April-2025/core/admin/fonts/modules/all/modules.eot	(from https://stemphone.org/)
12:37:06	1418/1418	---MC-	200	added ('OK')	application/rss+xml	etag:%22f3084f7f0f531438fd2e44db4529e950%22	https://stemphone.org/feed/	C:/My%20Web%20Sites/stemphone/stemphone.org/feed/index.html	(from https://stemphone.org/)
